Whitealone,BlackorAfricanAmericanalone,AmericanIndianandAlaskaNativealone,Asianalone,NativeHawaiianandOtherPacificIslanderalone,SomeOtherRacealone,Populationoftwoormoreraces,Populationoftworaces,WhiteBlackorAfricanAmerican1,WhiteAmericanIndianandAlaskaNative1,WhiteAsian1,WhiteNativeHawaiianandOtherPacificIslander1,WhiteSomeOtherRace1,BlackorAfricanAmericanAmericanIndianandAlaskaNative1,BlackorAfricanAmericanAsian1,BlackorAfricanAmericanNativeHawaiianandOtherPacificIslander1,BlackorAfricanAmericanSomeOtherRace1,AmericanIndianandAlaskaNativeAsian1,AmericanIndianandAlaskaNativeNativeHawaiianandOtherPacificIslander2,AmericanIndianandAlaskaNativeSomeOtherRace2,AsianNativeHawaiianandOtherPacificIslander2,AsianSomeOtherRace2,NativeHawaiianandOtherPacificIslanderSomeOtherRace2,Populationofthreeraces2,WhiteBlackorAfricanAmericanAmericanIndianandAlaskaNative2,WhiteBlackorAfricanAmericanAsian2,WhiteBlackorAfricanAmericanNativeHawaiianandOtherPacificIslander2,WhiteBlackorAfricanAmericanSomeOtherRace2,WhiteAmericanIndianandAlaskaNativeAsian3,WhiteAmericanIndianandAlaskaNativeNativeHawaiianandOtherPacificIslander3,WhiteAmericanIndianandAlaskaNativeSomeOtherRace3,WhiteAsianNativeHawaiianandOtherPacificIslander3,WhiteAsianSomeOtherRace3,WhiteNativeHawaiianandOtherPacificIslandeSomeOtherRac,BlackorAfricanAmericanAmericanIndianandAlaskaNativeAsian3,BlackorAfricanAmericanAmericanIndianandAlaskaNativeNativeHawaiianandOtherPacificIslander3,BlackorAfricanAmericanAmericanIndianandAlaskaNativeSomeOtherRace3,BlackorAfricanAmericanAsianNativeHawaiianandOtherPacificIslander3,BlackorAfricanAmericanAsianSomeOtherRace4,BlackorAfricanAmericanNativeHawaiianandOtherPacificIslanderSomeOtherRace4,AmericanIndianandAlaskaNativeAsianNativeHawaiianandOtherPacificIslander4,AmericanIndianandAlaskaNativeAsianSomeOtherRace4,AmericanIndianandAlaskaNativeNativeHawaiianandOtherPacificIslanderSomeOtherRace4,AsianNativeHawaiianandOtherPacificIslanderSomeOtherRace4,Populationoffourraces4,WhiteBlackorAfricanAmericanAmericanIndianandAlaskaNativeAsian4,WhiteBlackorAfricanAmericanAmericanIndianandAlaskaNativeNativeHawaiianandOtherPacificIslander4,WhiteBlackorAfricanAmericanAmericanIndianandAlaskaNativeSomeOtherRace4,WhiteBlackorAfricanAmericanAsianNativeHawaiianandOtherPacificIslander5,WhiteBlackorAfricanAmericanAsianSomeOtherRace5,WhiteBlackorAfricanAmericanNativeHawaiianandOtherPacificIslanderSomeOtherRace5,WhiteAmericanIndianandAlaskaNativeAsianNativeHawaiianandOtherPacificIslander5,WhiteAmericanIndianandAlaskaNativeAsianSomeOtherRace5,WhiteAmericanIndianandAlaskaNativeNativeHawaiianandOtherPacificIslanderSomeOtherRace5,WhiteAsianNativeHawaiianandOtherPacificIslanderSomeOtherRace5,BlackorAfricanAmericanAmericanIndianandAlaskaNativeAsianNativeHawaiianandOtherPacificIslander5,BlackorAfricanAmericanAmericanIndianandAlaskaNativeAsianSomeOtherRace5,BlackorAfricanAmericanAmericanIndianandAlaskaNativeNativeHawaiianandOtherPacificIslanderSomeOtherRace5,BlackorAfricanAmericanAsianNativeHawaiianandOtherPacificIslanderSomeOtherRace6,AmericanIndianandAlaskaNativeAsianNativeHawaiianandOtherPacificIslanderSomeOtherRace6,Populationoffiveraces6,WhiteBlackorAfricanAmericanAmericanIndianandAlaskaNativeAsianNativeHawaiianandOtherPacificIslander6,WhiteBlackorAfricanAmericanAmericanIndianandAlaskaNativeAsianSomeOtherRace6,WhiteBlackorAfricanAmericanAmericanIndianandAlaskaNativeNativeHawaiianandOtherPacificIslanderSomeOtherRace6,WhiteBlackorAfricanAmericanAsianNativeHawaiianandOtherPacificIslanderSomeOtherRace6,WhiteAmericanIndianandAlaskaNativeAsianNativeHawaiianandOtherPacificIslanderSomeOtherRace6,BlackorAfricanAmericanAmericanIndianandAlaskaNativeAsianNativeHawaiianandOtherPacificIslanderSomeOtherRace6,Populationofsixraces6,WhiteBlackorAfricanAmericanAmericanIndianandAlaskaNativeAsianNativeHawaiianandOtherPacificIslanderSomeOtherRace7,Total7
2.14525488E8,3.4961123E7,2489292.0,1.0250958E7,399928.0,1.5619084E7,6984643.0,6514528.0,873088.0,1083938.0,869928.0,113374.0,2238214.0,183872.0,107356.0,30032.0,429128.0,53585.0,7374.0,97543.0,138854.0,252347.0,35895.0,421356.0,116764.0,22774.0,2979.0,46630.0,23825.0,4847.0,29341.0,89646.0,35215.0,8436.0,5833.0,1008.0,7201.0,5332.0,8313.0,2196.0,3070.0,2733.0,594.0,4619.0,39241.0,10715.0,996.0,5221.0,2137.0,1526.0,334.0,6452.0,1104.0,309.0,7943.0,760.0,343.0,111.0,1082.0,208.0,8685.0,6643.0,726.0,69.0,385.0,642.0,220.0,833.0,833.0,2.85230516E8
2.26378365E8,3.9390817E7,2952087.0,1.4681083E7,540383.0,1.9397273E7,9131319.0,8374845.0,1897764.0,1434214.0,1624556.0,170315.0,1765484.0,271780.0,186089.0,50433.0,324938.0,59175.0,11079.0,118137.0,165720.0,235101.0,60060.0,688420.0,238338.0,61816.0,9278.0,49419.0,45977.0,8662.0,31171.0,143140.0,35894.0,9505.0,9482.0,2153.0,8508.0,7302.0,8221.0,4330.0,3829.0,3857.0,2061.0,5477.0,58588.0,19048.0,2688.0,9321.0,4853.0,2460.0,578.0,11502.0,1542.0,458.0,3490.0,1017.0,549.0,217.0,580.0,285.0,8671.0,6630.0,1038.0,191.0,271.0,443.0,98.0,795.0,795.0,3.12471327E8
2.04837865E8,4.1332911E7,3745005.0,1.989005E7,690559.0,2.8754031E7,3.5484734E7,3.3429356E7,3094820.0,3970682.0,2692220.0,222624.0,2.0580431E7,395426.0,244002.0,45700.0,1263028.0,51160.0,11867.0,395275.0,219393.0,188993.0,53735.0,1800949.0,393856.0,121417.0,16996.0,308716.0,93994.0,15689.0,405765.0,206125.0,126789.0,14487.0,12558.0,3086.0,36438.0,11700.0,14387.0,3332.0,4021.0,4103.0,1256.0,6234.0,229843.0,33262.0,5517.0,121493.0,9589.0,13218.0,1663.0,17734.0,11828.0,1425.0,8910.0,1587.0,1425.0,374.0,1254.0,564.0,22047.0,8674.0,9375.0,1201.0,1024.0,1321.0,452.0,2539.0,2539.0,3.34735155E8
