TAG,RECORD,SUMLEV,NAME,POPULATION,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073
US,0000011,030,East South Central,19402234,19402234,18376811,13581537,3836008,90920,319410,11934,537002,1025423,971637,197835,283169,75508,5954,344168,19254,7270,1634,22703,926,260,6453,3110,2528,865,48240,17888,4047,661,6336,3426,523,8484,2492,1902,310,413,106,645,474,240,69,58,38,21,107,4767,1216,249,1960,246,256,28,257,200,28,91,79,47,24,72,14,699,300,274,52,36,17,20,80,80,19402234,1056308,18345926,17632276,13375438,3808696,60757,316368,10705,60312,713650,678553,190930,273954,73109,5610,90996,18214,6939,1506,11333,779,188,490,2922,1439,144,32055,15959,3779,612,2496,3045,494,1261,2318,581,111,359,90,289,410,120,37,41,22,1,30,2573,959,190,658,207,112,19,221,53,5,18,52,17,5,53,4,434,211,152,25,25,5,16,35,35
US,0000012,030,West South Central,40774139,40774139,34645291,21896414,5760764,670573,1814706,58663,4444171,6128848,5901243,332103,698793,221664,16003,4356339,56655,23181,4675,91518,4758,1136,61639,12389,16396,3994,206207,48492,10952,1479,31807,11018,1530,68376,7791,15363,1557,1155,265,2960,1087,1012,262,211,361,120,409,19004,3203,476,9710,663,1191,145,894,1527,150,562,159,126,15,143,40,2160,766,1016,121,101,107,49,234,234,40774139,12493044,28281095,26718068,18652037,5630258,443858,1787717,52011,152187,1563027,1473178,298137,625518,203621,13769,205841,51244,21151,4163,27166,3498,790,1595,11248,4963,474,82357,39860,9239,1226,7155,8662,1174,2704,6666,1599,205,892,205,1036,866,424,108,134,32,12,158,6535,2333,335,1788,505,363,49,634,121,13,120,109,54,11,100,0,864,461,293,37,32,26,15,93,93
US,0000013,030,Mountain,24919150,24919150,21811453,16561335,991121,798589,888215,95964,2476229,3107697,2936580,186508,348102,241435,36022,1973802,21915,15514,4010,35242,4555,1830,34169,18703,11621,3152,154975,24434,10475,2015,17283,9199,1945,50110,19803,11776,1810,908,307,1473,1061,706,198,428,370,115,559,14147,2430,516,4962,1046,847,163,1526,1213,202,805,158,97,59,55,68,1744,701,690,99,79,147,28,251,251,24919150,6193275,18725875,17694866,15062974,930550,633666,863077,88309,116290,1031009,961669,161950,283096,220965,32501,192754,17645,13827,3517,9434,3080,1397,1347,16637,3010,509,63199,17964,8754,1667,3490,6494,1479,1728,17173,1323,217,708,227,336,829,240,73,279,28,19,171,5343,1569,359,833,798,255,59,1008,57,26,143,113,44,28,37,14,718,420,180,41,28,33,16,80,80
US,0000014,030,Pacific,53669422,53669422,46171536,25364791,2672579,931422,7597015,411543,9194186,7497886,6875851,384229,669852,913298,105103,4196140,49036,65433,13582,101334,19022,5325,125130,143479,70254,14634,554007,61347,34363,5975,40842,37538,7493,138679,146200,50698,6158,3538,902,4042,4640,3010,716,2558,1703,370,3235,60299,9244,1685,14936,4999,3339,493,12628,5299,578,5694,576,344,95,241,148,7032,2924,2494,317,436,787,74,697,697,53669422,17416369,36253053,33491881,22405688,2536722,400477,7468661,380363,299970,2761172,2469197,335499,527761,834080,91852,368811,39608,58852,11836,32571,11945,3670,2636,128254,16825,4997,264366,45491,28662,4897,9589,26225,5456,3593,122478,5255,724,2572,698,1174,3717,1154,294,1404,132,48,803,24845,6321,1160,2702,3658,1048,150,8027,337,57,738,358,122,44,95,28,2560,1600,576,99,164,94,27,204,204
US,0000015,040,Alabama,5024279,5024279,4767326,3220452,1296162,33625,76660,2984,137443,256953,243473,45429,79559,18510,1449,80617,6301,2049,492,5421,266,77,1941,567,562,233,12093,4493,972,172,1441,912,138,2194,681,429,78,124,13,146,145,86,27,12,6,7,17,1191,304,64,516,80,47,4,35,48,7,25,31,7,4,15,4,187,89,78,13,0,5,2,9,9,5024279,264047,4760232,4575614,3171351,1288159,23119,75918,2612,14455,184618,175750,43911,77291,17974,1366,22551,6012,1939,456,2983,201,46,164,520,303,33,8085,3986,899,165,573,821,138,295,643,122,33,115,13,72,129,43,20,10,4,0,4,673,232,45,200,66,27,3,32,25,0,3,21,0,2,13,4,108,51,44,9,0,2,2,2,2
US,0000016,040,Alaska,733391,733391,643867,435392,21898,111575,44032,12698,18272,89524,81221,5987,38129,9815,1599,17735,2039,547,319,948,1215,607,622,1349,255,55,7371,1988,402,121,361,1795,344,878,837,204,31,80,31,41,58,21,15,90,28,15,31,822,206,47,160,47,17,13,217,49,7,36,4,3,0,5,11,97,44,29,4,4,14,2,13,13,733391,49824,683567,611806,421758,20731,108838,43449,12455,4575,71761,65654,5318,36039,9310,1440,7296,1916,490,289,283,1127,558,245,1229,113,1,5518,1728,348,108,115,1627,314,181,762,41,7,61,31,21,53,4,4,85,5,8,15,505,167,24,37,40,6,7,177,17,1,15,1,2,0,0,11,78,36,20,4,4,12,2,6,6
US,0000017,040,Arizona,7151502,7151502,6154696,4322337,339150,319512,257430,16397,899870,996806,948897,60610,84795,62979,7025,687131,7977,4322,864,11926,1492,570,10400,4226,3696,884,43514,7360,3178,518,5839,2296,428,13994,3924,3882,457,254,87,479,218,190,49,117,111,36,97,3885,732,115,1450,225,246,35,299,410,50,217,35,27,13,13,18,440,174,215,12,7,28,4,70,70,7151502,2192253,4959249,4692409,3816547,317161,263930,248837,14323,31611,266840,249130,51895,67557,56082,6096,47116,6515,3738,726,2875,995,476,384,3690,878,107,16207,5410,2611,429,1044,1577,309,414,3328,344,45,200,55,98,158,63,16,77,3,2,24,1319,484,74,222,170,71,10,187,13,5,29,24,13,5,12,0,175,97,62,8,4,0,4,9,9
US,0000018,040,Arkansas,3011524,3011524,2797949,2114512,453783,27177,51839,14533,136105,213575,203299,28910,76042,11859,1281,75317,3149,865,214,2817,199,101,1347,502,522,174,9447,3600,466,101,1050,831,104,2079,441,358,73,63,9,134,81,22,2,8,11,0,14,699,183,33,299,14,19,0,51,47,14,13,7,7,4,8,0,118,60,38,2,15,2,1,12,12,3011524,256847,2754677,2607520,2063550,449884,20549,51210,14280,8047,147157,140548,27850,73015,11362,1192,20613,2981,798,197,1438,174,81,115,469,208,55,6135,3269,419,89,472,771,91,276,402,116,15,40,9,75,60,10,2,7,4,0,8,409,151,22,120,12,7,0,43,14,8,6,7,7,4,8,0,64,35,21,2,4,2,0,1,1
US,0000019,040,California,39538223,39538223,33777988,16296122,2237044,631016,6085947,157263,8370596,5760235,5380042,257897,384596,624936,45390,3626370,37342,51784,8765,88929,13189,2563,113787,51357,61163,11974,341027,41343,24099,3338,32938,22082,3308,119441,31003,42261,4250,2582,555,3381,2638,2603,606,960,1465,316,1858,34609,6504,981,11879,1951,2736,336,2531,4290,421,2082,260,282,77,170,109,4107,1345,2002,236,208,284,32,450,450,39538223,15579652,23958571,22330849,13714587,2119286,156085,5978795,138167,223929,1627722,1500424,220162,270349,563222,37904,223468,29533,46247,7531,28389,7321,1376,1867,45831,13281,3943,114216,29152,19646,2618,7243,13731,2114,2090,25764,3812,422,1806,415,985,2103,955,256,457,90,23,534,11705,4292,632,1946,1453,820,86,1535,206,31,329,161,102,35,62,15,1247,683,406,65,71,21,1,130,130
US,0000020,040,Colorado,5773714,5773714,5066044,4082927,234828,74129,199827,10287,464046,707670,665645,48200,91231,63039,4943,426665,5076,3636,611,7619,851,218,8397,2431,2183,545,38117,6940,2747,337,4070,2331,325,14157,3105,2553,331,265,63,348,170,129,25,68,72,14,67,3437,688,136,1346,188,241,34,282,300,39,131,20,7,13,2,10,423,195,152,30,10,31,5,48,48,5773714,1263390,4510324,4249526,3760663,221310,33768,195220,9005,29560,260798,244979,42311,71858,58609,4356,54422,3850,3264,506,2000,476,134,291,2155,674,73,14448,5013,2346,244,814,1608,227,457,2734,361,58,202,44,71,141,52,8,33,8,0,27,1197,412,95,181,150,62,20,187,21,7,37,10,3,5,2,5,156,116,24,12,3,1,0,18,18
