TAG,RECORD,SUMLEV,NAME,POPULATION,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073
US,0000031,040,Kansas,2937880,2937880,2657373,2222462,168809,30995,86273,3412,145422,280507,265719,36935,63803,18823,1600,132329,3934,1261,269,2927,246,71,1918,795,633,175,13554,4878,979,163,1690,934,129,2994,714,570,66,90,36,163,49,34,14,12,16,0,23,1100,316,47,415,53,49,10,87,53,7,31,10,5,6,1,10,103,52,34,6,4,2,5,31,31,2937880,382603,2555277,2406252,2122575,163352,21921,85225,3115,10064,149025,140801,33979,58576,17855,1486,21550,3503,1187,255,993,198,51,100,729,294,45,7654,4078,893,147,469,782,112,194,636,94,14,79,27,49,39,3,9,8,1,0,20,501,228,40,84,43,21,2,65,3,0,2,7,3,1,1,1,52,35,8,0,4,0,5,17,17
US,0000032,040,Kentucky,4505836,4505836,4260996,3711254,362417,12801,74426,3681,96417,244840,232500,55381,66051,17238,1449,78941,2750,1258,335,5572,185,51,1140,1366,600,183,11103,4202,1014,165,1561,723,117,1892,544,450,70,74,23,115,71,27,6,9,12,6,22,1068,274,49,421,66,68,8,66,55,0,21,12,18,5,5,0,143,57,50,10,14,7,5,26,26,4505836,207854,4297982,4122619,3664764,357764,8080,73843,3462,14706,175363,167097,53555,64160,16727,1363,22571,2561,1212,311,2627,157,41,76,1307,405,24,7614,3802,940,151,637,649,112,427,504,161,24,53,17,46,61,4,2,5,9,0,10,555,214,34,130,52,25,8,61,12,0,2,9,5,1,2,0,84,38,25,5,8,3,5,13,13
US,0000033,040,Louisiana,4657757,4657757,4384380,2657652,1464023,31657,86438,1911,142699,273377,255214,43631,50194,17001,1278,116354,7332,2323,419,13305,280,69,1601,504,660,263,15833,4955,985,121,2995,840,117,3407,500,819,133,137,40,374,170,128,46,21,13,7,25,2083,339,46,1250,64,67,30,58,82,8,27,38,21,1,47,5,214,82,95,3,11,15,8,33,33,4657757,322549,4335208,4179112,2596702,1452420,25994,85336,1706,16954,156096,145655,41902,46689,16219,1202,22681,6931,2185,371,6202,239,50,200,450,289,45,9312,4341,886,112,1525,696,99,335,457,164,48,119,36,230,136,74,20,9,5,2,18,987,253,37,450,49,32,16,37,11,2,15,26,18,0,41,0,122,51,48,1,7,7,8,20,20
US,0000034,040,Maine,1362359,1362359,1297649,1237041,25752,7885,16798,443,9730,64710,61608,7612,23177,7074,430,21646,272,163,41,651,86,16,141,153,123,23,2808,846,194,21,444,221,59,483,250,173,20,17,11,24,5,17,2,7,4,2,8,231,26,13,94,17,13,2,21,22,3,5,7,4,0,3,1,63,34,7,2,3,10,7,0,0,1362359,26609,1335750,1282177,1228264,25115,7293,16668,407,4430,53573,51538,7214,22678,6921,425,13167,237,150,34,380,74,8,30,143,75,2,1890,743,176,15,244,216,51,89,237,59,12,4,1,11,5,10,0,7,4,2,4,122,22,5,34,13,12,2,16,4,3,1,5,4,0,1,0,23,22,0,0,0,1,0,0,0
US,0000035,040,Maryland,6177224,6177224,5695323,3007874,1820472,31845,420944,3247,410941,481901,444556,78371,48367,55237,1985,194761,15874,9381,1117,25559,810,112,8218,1403,2746,615,32617,11071,3651,330,5388,1356,111,5477,1158,1944,138,418,96,592,210,444,82,26,67,20,38,4231,1067,109,2187,111,316,35,92,173,29,32,19,33,5,19,4,439,181,200,23,25,1,9,58,58,6177224,729745,5447479,5176715,2913782,1795027,12055,417962,2575,35314,270764,249806,73205,44092,53337,1868,37069,14741,8918,1036,11616,654,74,277,1308,1492,119,18987,9493,3285,308,1654,1154,97,244,1045,470,36,363,88,220,176,260,37,17,20,7,13,1734,852,104,364,99,133,6,76,22,14,9,18,19,3,12,3,200,111,61,13,9,1,5,37,37
US,0000036,040,Massachusetts,7029917,7029917,6421050,4896037,494029,24018,507934,2301,496731,608867,571923,56449,41151,58164,1794,310903,6011,3375,648,80988,633,109,5177,994,3405,2122,32278,6372,1794,160,13544,908,99,4085,1030,1849,204,185,22,1155,106,473,147,20,36,22,67,4310,443,49,3004,67,348,63,37,103,16,93,10,25,0,48,4,326,136,152,23,10,5,0,30,30,7029917,887685,6142232,5813954,4748897,457055,9387,504900,1607,92108,328278,309685,49087,37631,56636,1663,107699,4851,3116,575,44127,531,48,750,900,1698,373,16892,4587,1580,123,6475,777,75,492,974,607,62,152,16,431,76,330,88,11,7,1,28,1510,325,33,706,46,207,38,18,15,4,62,8,22,0,26,0,171,96,56,7,7,5,0,20,20
US,0000037,040,Michigan,10077331,10077331,9442016,7444974,1376579,61261,334300,3051,221851,635315,599811,115790,145036,60656,2906,240916,12023,3871,566,11229,735,102,2792,1108,1732,349,32500,13348,2305,308,4441,1797,244,5728,1403,1680,148,279,45,383,128,131,32,32,26,2,40,2609,699,131,1102,84,133,33,111,120,8,87,35,31,7,24,4,338,156,128,18,18,10,8,57,57,10077331,564422,9512909,9073589,7295651,1358458,47406,332288,2603,37183,439320,417028,108246,136541,58838,2724,87077,11133,3689,509,5150,619,60,268,1035,1073,66,20770,11682,2085,266,1662,1563,193,571,1293,720,40,221,41,163,122,88,9,25,10,2,14,1325,528,101,338,74,55,18,83,26,0,46,19,21,7,5,4,163,89,45,10,6,5,8,34,34
US,0000038,040,Minnesota,5706494,5706494,5360773,4423146,398434,68641,299190,2918,168444,345721,324275,57953,65819,45265,1882,133575,5029,2674,313,4770,790,104,2660,1477,1609,355,19416,7897,1842,232,2123,1247,144,3123,1153,877,95,126,57,187,65,91,20,38,34,7,58,1755,441,71,763,70,158,9,103,65,1,24,21,18,5,6,0,244,91,116,13,15,4,5,31,31,5706494,345640,5360854,5124820,4353880,392850,57046,297460,2621,20963,236034,222430,54620,61284,44003,1778,47548,4540,2572,288,2320,666,82,150,1422,994,163,12575,6760,1661,211,723,1039,118,291,1079,226,29,117,39,68,62,60,9,26,11,0,46,904,347,52,203,59,94,5,98,9,0,4,14,15,4,0,0,105,63,40,0,1,0,1,20,20
US,0000039,040,Mississippi,2961279,2961279,2850547,1658893,1084481,16450,32709,1154,56860,110732,103917,25992,27934,8293,603,31331,3877,1149,273,3095,128,28,571,251,284,108,5995,2320,496,63,735,411,58,991,221,246,30,75,21,134,92,60,4,7,8,2,21,676,172,54,253,21,28,4,44,14,5,9,11,16,7,36,2,119,47,38,17,8,0,9,25,25,2961279,105220,2856059,2772613,1639077,1079001,14019,32305,1037,7174,83446,78813,25232,26963,8036,552,10552,3700,1097,244,1811,121,24,80,228,142,31,4127,2095,464,58,358,357,54,135,199,83,14,66,21,86,87,30,3,7,3,1,6,413,143,46,110,20,13,4,32,1,1,2,6,10,0,25,0,83,36,23,7,8,0,9,10,10
US,0000040,040,Missouri,6154913,6154913,5741742,4740335,699840,30518,133377,9730,127942,413171,390923,68493,128301,34538,3424,135671,7134,2313,542,6030,352,98,1682,1180,937,228,20344,7562,1634,313,2472,1618,280,3723,1129,764,165,154,46,236,101,54,16,23,15,1,38,1598,434,95,663,75,64,19,99,65,7,33,16,9,5,6,8,281,135,113,6,15,9,3,25,25,6154913,303068,5851845,5544005,4663907,692774,23496,132158,9293,22377,307840,293286,65605,123246,33472,3225,52701,6692,2209,498,3377,308,73,175,1083,550,72,13513,6732,1519,251,1071,1449,243,460,1049,227,41,140,37,123,80,44,10,8,3,1,25,872,360,80,197,65,36,5,84,13,0,3,15,8,4,0,2,159,95,53,3,4,1,3,10,10
US,0000041,040,Montana,1084225,1084225,1012950,916524,5484,67612,8300,941,14089,71275,67557,4608,29080,6430,916,24502,623,140,30,211,202,96,322,274,101,22,3410,959,161,41,214,472,112,773,434,121,37,1,6,5,7,4,13,27,11,1,11,256,39,14,83,14,4,4,34,27,5,3,6,5,6,7,5,40,13,17,3,0,4,3,12,12,1084225,45199,1039026,984277,901318,5077,64592,8077,839,4374,54749,52448,4311,27140,6160,861,12543,555,127,23,92,180,78,68,249,55,6,2144,803,143,35,82,394,96,111,394,26,14,1,6,1,6,1,4,16,4,0,7,130,35,14,12,14,1,1,28,3,1,2,5,1,6,7,0,25,10,7,3,0,4,1,2,2
US,0000042,040,Nebraska,1961504,1961504,1817341,1538052,96535,23102,52951,1534,105167,144163,136456,19503,23079,12180,826,73788,1882,577,126,1607,167,42,1695,479,407,98,6979,2328,523,81,795,393,52,1745,462,304,43,49,5,98,41,6,15,5,8,9,17,624,124,25,241,56,33,7,24,70,11,13,2,3,1,10,4,84,34,23,6,8,4,9,20,20,1961504,234715,1726789,1654155,1484687,94405,15051,52359,1318,6335,72634,68653,18187,20524,11655,786,13700,1673,554,101,620,116,36,62,452,174,13,3721,1927,466,70,213,306,43,94,403,58,9,45,5,25,35,0,1,5,0,4,12,221,80,17,55,32,4,0,20,5,0,0,0,2,1,5,0,31,16,0,5,8,0,2,8,8
US,0000043,040,Nevada,3104614,3104614,2670605,1588463,304739,43932,272703,25011,435757,434009,400557,34520,36364,45769,6098,239236,4265,5716,1613,9242,738,262,4814,8079,3049,792,29850,4309,2794,575,3260,1735,366,5503,6574,2393,361,260,86,328,535,256,80,106,73,16,240,3159,540,136,792,393,197,45,472,179,38,262,41,29,11,24,0,400,184,127,7,48,31,3,43,43,3104614,890257,2214357,2047436,1425952,291960,23392,265991,22970,17171,166921,149476,30247,29562,41700,5320,20361,3667,5179,1441,3062,513,170,166,7234,714,140,15714,3382,2318,478,917,1266,273,245,5523,221,35,219,71,119,428,85,25,59,5,0,45,1513,381,107,247,281,60,16,315,2,5,39,38,11,0,11,0,203,123,48,1,17,13,1,15,15
US,0000044,040,New Hampshire,1377529,1377529,1299787,1216203,20127,3031,35871,453,24102,77742,73876,8076,19548,9151,540,33530,322,180,64,1685,67,7,223,194,203,86,3465,992,334,29,735,260,28,559,191,178,36,1,24,39,17,16,4,2,11,3,6,338,43,3,200,11,20,1,15,18,2,9,3,1,2,9,1,59,26,11,14,0,3,5,4,4,1377529,59454,1318075,1263511,1200649,18655,2299,35604,388,5916,54564,52387,7376,18859,8907,503,15424,249,171,55,410,58,7,32,193,131,12,2016,801,312,29,233,237,25,68,181,60,12,1,18,6,13,6,4,0,6,0,4,132,25,3,45,7,13,0,14,9,2,6,3,0,2,2,1,25,10,3,6,0,3,3,4,4
US,0000045,040,New Jersey,9288994,9288994,8385500,5112280,1219770,51186,950090,3533,1048641,903494,852673,70790,40811,65045,1740,559309,12399,7604,1168,65449,1842,143,14030,2097,7251,2995,43150,10254,2929,217,13263,1016,100,7374,967,3645,265,374,51,1323,139,734,113,30,158,56,142,7058,850,149,4730,79,633,62,46,244,26,112,18,39,13,38,19,546,157,310,22,17,29,11,67,67,9288994,2002575,7286419,6996948,4816381,1154142,11206,942921,1944,70354,289471,272852,58316,35176,61942,1560,72627,10255,6959,1049,16947,1594,58,531,1964,3475,399,14950,6891,2364,175,1749,817,71,203,876,607,29,269,37,185,120,408,33,21,33,7,55,1449,607,106,319,59,205,21,35,23,5,26,11,13,1,11,7,197,105,67,2,9,7,7,23,23
US,0000046,040,New Mexico,2117522,2117522,1695276,1078937,45904,212241,37469,2093,318632,422246,405338,10509,30305,11482,1097,337315,2488,645,130,3049,643,214,5425,668,1063,305,15498,1949,443,55,1807,737,131,7896,555,1226,171,58,21,171,35,54,13,31,60,35,50,1230,171,27,546,43,71,20,102,124,16,61,19,6,7,1,16,152,32,84,16,4,13,3,28,28,2117522,1010811,1106711,1046944,772952,38330,188610,35261,1451,10340,59767,56231,7971,20999,9620,891,12110,1931,553,112,494,466,166,217,522,137,42,3171,1196,324,43,184,423,100,168,428,98,14,42,17,26,27,10,8,23,3,8,29,304,89,13,48,37,22,8,47,3,1,6,13,5,6,1,5,42,7,20,6,1,6,2,19,19
US,0000047,040,New York,20201249,20201249,18433786,11143349,2986172,149690,1933127,10815,2210633,1767463,1649229,175686,113950,148927,3890,840481,31562,21450,3274,226733,5958,564,33617,6314,28694,8129,99616,24378,6334,504,31594,2154,258,15296,2222,6526,459,1059,171,3838,426,2558,476,145,548,156,514,16806,2049,232,11366,252,1429,92,135,430,37,240,92,210,29,120,93,1623,555,873,99,26,25,45,189,189,20201249,3948032,16253217,15532370,10598907,2759022,54908,1916329,6097,197107,720847,680673,145393,101028,143101,3442,135278,25122,19639,2921,68223,5344,324,2534,5869,20396,2059,35956,15048,5137,418,4575,1717,195,561,2011,1726,91,790,120,709,329,1670,164,105,291,39,260,3599,1402,141,777,174,556,21,97,57,3,104,56,102,15,61,33,558,294,204,11,20,9,20,61,61
US,0000048,040,North Carolina,10439388,10439388,9727667,6488459,2140217,130032,343051,8518,617390,711721,664545,114798,124955,57170,3574,294386,23110,6862,1462,24413,983,249,7175,1842,2749,817,41836,16307,3410,458,6524,2035,261,6802,1742,1731,204,454,138,936,298,244,92,64,34,15,87,4728,1102,153,2406,160,285,32,178,193,23,81,31,20,8,31,25,540,280,198,25,22,10,5,72,72,10439388,1118596,9320792,8913939,6312148,2107526,100886,340059,6980,46340,406853,379065,108137,118182,54952,3331,51148,21556,6490,1344,9178,839,188,472,1676,1458,114,25452,14148,3055,399,1967,1814,238,486,1545,429,33,383,123,300,239,127,56,53,6,0,51,1983,851,121,497,126,126,13,136,27,6,28,22,14,0,6,10,312,198,86,3,17,5,3,41,41
US,0000049,040,North Dakota,779094,779094,737154,645938,26783,38914,13213,924,11382,41940,39726,5120,14414,4048,415,13753,600,251,39,394,98,50,225,183,70,66,1968,645,155,34,212,173,36,347,166,76,11,9,7,29,21,7,1,11,11,0,17,192,35,8,62,11,2,3,22,22,0,0,3,10,1,6,7,49,14,10,6,16,3,0,5,5,779094,33412,745682,715434,636160,26152,37350,13050,869,1853,30248,28950,4860,13585,3892,382,4842,543,226,28,192,83,50,33,178,36,20,1202,522,155,33,60,150,29,32,142,19,2,5,1,3,21,0,0,11,0,0,17,74,26,5,6,8,0,1,14,2,0,0,2,5,0,5,0,22,7,2,1,10,2,0,0,0
US,0000050,040,Ohio,11799448,11799448,11118076,9080688,1478781,30720,298509,5034,224344,681372,638388,157685,157622,59329,3367,217778,12938,4679,811,17084,637,99,2590,1312,1861,596,38520,17738,3162,488,5720,1974,243,4779,1669,1190,162,310,88,548,178,126,31,36,33,15,30,3942,1049,231,1893,150,180,12,122,138,13,52,30,29,18,14,11,461,219,153,29,37,3,20,61,61,11799448,521308,11278140,10776578,8954135,1457180,18949,296604,4493,45217,501562,472864,149694,151584,57794,3150,81668,11995,4436,750,8426,555,67,251,1207,1214,73,26530,15777,2909,422,2144,1766,206,546,1557,368,48,272,70,149,151,89,13,22,5,2,14,1867,820,188,447,114,73,3,93,45,0,25,18,19,10,12,0,262,158,60,14,13,3,14,39,39
US,0000051,040,Oklahoma,3959353,3959353,3451195,2514885,289961,332791,90949,8608,214001,508158,476591,46341,251170,21338,2100,124450,19104,1726,420,3753,974,357,3132,824,665,237,29533,15616,1200,227,1956,2926,426,4845,921,541,75,202,58,295,61,41,13,77,21,7,25,1846,460,105,778,74,72,5,181,82,13,32,13,10,5,15,1,167,107,42,5,6,1,6,21,21,3959353,471931,3487422,3113743,2407188,283242,311890,89653,8168,13602,373679,351497,43225,238919,20172,1896,23169,18042,1599,364,1582,828,319,340,748,245,49,21102,14054,1088,197,746,2633,353,591,817,121,14,162,51,135,42,8,10,63,3,0,14,969,360,82,217,60,36,5,161,15,1,3,9,6,2,12,0,97,70,21,4,0,1,1,14,14
US,0000052,040,Oregon,4237256,4237256,3793917,3169096,82655,62993,194538,19204,265431,443339,412968,32537,96929,59341,7738,198328,2285,1647,519,2794,805,332,3987,3737,1543,446,27366,5185,1771,382,2242,2840,643,6714,4854,1724,271,141,63,159,101,66,20,75,37,3,75,2568,446,98,842,161,115,19,453,229,22,141,17,11,10,4,0,385,191,116,13,30,35,0,52,52,4237256,588757,3648499,3389814,3036158,78658,42042,191797,18197,22962,258685,242105,29744,87078,56237,7106,51870,1889,1506,479,910,613,277,182,3414,643,157,15193,4182,1526,340,711,2330,516,481,4313,343,53,103,54,40,80,39,2,47,9,0,24,1189,311,64,223,142,47,9,334,24,3,18,11,2,1,0,0,169,105,38,3,12,11,0,29,29
US,0000053,040,Pennsylvania,13002700,13002700,12228216,9750687,1423169,31052,510501,4276,508531,774484,726012,136716,107274,69760,3360,337578,14495,6188,1025,36170,858,164,5426,1692,3256,2050,42490,15669,3153,450,9963,1483,225,5306,1541,1891,235,328,92,1289,195,348,124,22,55,45,76,5454,1054,203,3296,118,316,55,96,119,27,71,26,42,0,26,5,435,195,195,22,15,4,4,93,93,13002700,1049615,11953085,11501800,9553417,1368978,15028,506674,3162,54541,451285,426834,123578,101742,67431,3132,98277,12588,5681,912,9025,751,82,304,1590,1573,168,22487,12376,2729,379,2149,1277,191,423,1411,495,53,258,90,235,163,165,40,13,25,0,15,1698,799,152,331,87,140,23,65,30,1,23,23,15,0,9,0,226,159,52,4,4,4,3,40,40
US,0000054,040,Rhode Island,1097379,1097379,995585,782920,62168,7385,38961,536,103615,101794,93292,9960,8317,7009,333,44471,2169,397,86,18100,98,32,1103,181,448,588,7427,1773,286,47,3143,142,39,712,149,243,64,37,12,514,44,109,45,5,25,26,12,994,113,19,711,19,63,14,4,13,9,4,3,7,10,5,0,69,13,36,8,2,10,0,12,12,1097379,182101,915278,863028,754050,55386,3513,38367,320,11392,52250,47257,8515,7593,6750,309,9981,1820,351,70,11199,72,15,171,155,164,92,4491,1380,244,39,1803,134,30,108,144,80,18,24,5,329,39,66,18,2,15,6,7,458,93,15,252,19,39,9,4,6,5,0,0,7,4,5,0,36,13,14,6,0,3,0,8,8
US,0000055,040,South Carolina,5118425,5118425,4820049,3243442,1280531,24303,90466,3431,177876,298376,280801,57455,62074,23180,1651,112478,7924,2859,554,8725,300,61,1688,774,790,288,15452,6080,1385,134,2280,928,125,2291,715,622,72,153,27,282,153,84,29,23,22,14,33,1775,364,70,821,110,101,17,112,57,18,42,21,14,3,18,7,292,125,113,15,19,14,6,56,56,5118425,352838,4765587,4576007,3178552,1269031,16591,89394,3085,19354,189580,178524,54856,59598,22306,1570,24449,7432,2688,490,3531,257,56,133,719,409,30,9966,5369,1238,123,770,840,123,254,650,183,17,116,25,77,106,24,9,23,0,3,16,879,283,62,224,99,47,7,91,7,13,6,13,11,0,16,0,174,95,51,11,11,2,4,37,37
US,0000056,040,South Dakota,886667,886667,840002,715336,17842,77748,13476,543,15057,46665,44190,5575,17783,3699,385,14479,940,163,26,323,165,58,332,133,86,43,2228,839,126,28,186,219,62,415,163,56,30,27,5,32,8,1,8,13,3,4,3,202,21,11,65,17,8,10,29,11,9,4,0,5,0,7,5,44,15,7,4,4,11,3,1,1,886667,38741,847926,813494,705583,17441,74595,13332,493,2050,34432,32891,5279,16660,3555,359,5484,827,157,23,144,144,50,44,115,42,8,1420,722,110,28,65,177,50,39,156,20,5,16,5,10,5,1,5,1,3,0,2,100,15,11,25,12,2,1,21,0,5,1,0,4,0,3,0,20,7,7,0,2,4,0,1,1
US,0000057,040,Tennessee,6910840,6910840,6497942,4990938,1092948,28044,135615,4115,246282,412898,391747,71033,109625,31467,2453,153279,6326,2814,534,8615,347,104,2801,926,1082,341,19049,6873,1565,261,2599,1380,210,3407,1046,777,132,140,49,250,166,67,32,30,12,6,47,1832,466,82,770,79,113,12,112,83,16,36,25,6,8,16,8,250,107,108,12,14,5,4,20,20,6910840,479187,6431653,6161430,4900246,1083772,15539,134302,3594,23977,270223,256893,68232,105540,30372,2329,35322,5941,2691,495,3912,300,77,170,867,589,56,12229,6076,1476,238,928,1218,190,404,972,215,40,125,39,85,133,43,12,19,6,0,10,932,370,65,218,69,47,4,96,15,4,11,16,2,2,13,0,159,86,60,4,9,0,0,10,10
US,0000058,040,Texas,29145505,29145505,24011767,14609365,3552997,278948,1585480,33611,3951366,5133738,4966139,213221,321387,171466,11344,4040218,27070,18267,3622,71643,3305,609,55559,10559,14549,3320,151394,24321,8301,1030,25806,6421,883,58045,5929,13645,1276,753,158,2157,775,821,201,105,316,106,345,14376,2221,292,7383,511,1033,110,604,1316,115,490,101,88,5,73,34,1661,517,841,111,69,89,34,168,168,29145505,11441717,17703788,16817693,11584597,3444712,85425,1561518,27857,113584,886095,835478,185160,266895,155868,9479,139378,23290,16569,3231,17944,2257,340,940,9581,4221,325,45808,18196,6846,828,4412,4562,631,1502,4990,1198,128,571,109,596,628,332,76,55,20,10,118,4170,1569,194,1001,384,288,28,393,81,2,96,67,23,5,39,0,581,305,203,30,21,16,6,58,58
US,0000059,040,Utah,3271616,3271616,2992603,2573413,40058,41644,80438,36930,220120,279013,261893,17096,31850,32648,12766,155296,888,744,651,2350,373,333,3090,2303,1054,451,15570,1520,702,369,1373,774,378,4847,3823,990,321,46,36,80,86,45,9,57,29,8,77,1368,125,52,533,123,58,6,207,115,35,77,11,7,8,1,10,174,54,63,17,4,31,5,8,8,3271616,492912,2778704,2658252,2465355,37192,28690,78618,35831,12566,120452,112483,15315,26337,30875,12050,22042,658,683,610,624,277,272,118,2138,375,109,7373,1093,621,331,287,557,310,173,3551,175,33,27,31,6,60,20,7,55,2,4,30,524,94,36,78,93,19,3,152,7,1,23,6,4,5,0,3,69,43,8,8,2,3,5,3,3
US,0000060,040,Vermont,643077,643077,606051,577751,9034,2289,11549,181,5247,37026,35154,3637,13105,3882,203,13541,153,46,13,326,36,12,81,39,72,8,1656,575,92,27,283,132,21,276,81,79,24,5,7,9,10,9,4,4,3,4,11,169,41,6,72,14,6,1,6,6,4,2,4,2,1,4,0,41,19,13,0,1,6,2,6,6,643077,15504,627573,598024,573201,8649,1986,11457,170,2561,29549,28400,3401,12787,3792,203,7713,130,45,13,153,33,12,14,39,64,1,1036,484,89,20,119,122,17,37,76,22,10,4,7,7,10,5,0,2,0,1,4,87,40,5,19,11,6,0,5,0,0,0,0,0,0,1,0,20,15,3,0,0,0,2,6,6
US,0000061,040,Virginia,8631393,8631393,7925686,5208856,1607581,40007,615436,7156,446650,705707,654932,111004,86898,105008,4119,284308,14934,10210,1255,21371,978,104,6852,3176,4062,653,44372,13505,5027,507,6748,2483,238,7356,2708,3246,186,494,98,633,463,367,71,31,54,41,116,5685,1326,157,2743,291,347,31,230,299,15,144,26,12,9,46,9,680,248,372,25,11,14,10,38,38,8631393,908749,7722644,7317734,5058363,1578090,19080,610612,6195,45394,404910,376993,104154,80602,100980,3833,48482,13668,9655,1163,8217,779,61,260,2957,2066,116,25283,11311,4531,436,1823,2077,203,416,2405,697,21,409,75,198,354,222,25,19,6,5,50,2324,1052,139,430,241,143,12,161,19,1,56,19,7,9,30,5,284,168,93,3,5,8,7,26,26
US,0000062,040,Washington,7705281,7705281,6868622,5130920,307565,121468,730596,64933,513140,836659,770116,82193,138919,147299,15706,333489,6570,8676,2243,7734,2803,893,6295,11689,4451,1156,59396,11320,6658,1223,4725,6577,1179,10499,10336,3781,530,517,154,394,598,237,43,256,120,20,229,6331,1422,257,1715,684,355,63,906,421,45,323,79,24,5,18,14,710,346,209,39,55,48,13,106,106,7705281,1059213,6646068,6134954,4918820,296170,91191,723062,62490,43221,511114,470785,75362,124837,140088,14522,80858,5619,8087,2035,2646,2286,757,300,10837,2066,485,36604,9288,5962,1103,1331,5525,995,763,9169,743,90,427,130,114,513,127,18,184,23,8,91,3340,1095,223,426,568,141,23,679,48,12,50,50,6,5,12,2,356,218,64,26,24,12,12,29,29
US,0000063,040,West Virginia,1793716,1793716,1708772,1610749,65813,3706,15109,476,12919,84944,80877,19578,30144,5443,462,22475,774,262,72,1128,53,36,127,140,144,39,3702,1701,297,67,463,260,44,480,193,89,28,20,4,17,13,7,0,7,2,6,4,303,65,9,109,31,10,4,32,12,3,7,4,9,2,5,1,47,21,25,0,0,0,1,15,15,1793716,34827,1758889,1686754,1598834,64749,3187,14903,429,4652,72135,69169,19051,29522,5312,445,12700,750,244,71,712,48,30,19,138,116,11,2777,1573,274,55,230,227,37,93,180,45,17,16,4,5,13,4,0,0,0,3,1,152,48,5,31,20,9,4,26,2,1,0,4,0,2,0,0,26,16,9,0,0,0,1,11,11
US,0000064,040,Wisconsin,5893718,5893718,5534184,4737545,376256,60428,175702,2199,182054,359534,341196,53543,64697,32014,2004,172629,4343,1586,199,5261,467,102,2178,892,1011,270,16568,5601,1077,164,2606,818,133,3769,963,760,98,106,5,278,55,52,24,3,26,13,17,1606,348,46,880,55,57,17,43,85,22,29,5,16,1,2,0,151,72,55,8,5,4,7,13,13,5893718,447290,5446428,5242682,4634018,366508,48384,174267,1892,17613,203746,194320,49471,59670,30903,1889,43485,3774,1494,178,1578,402,64,84,844,471,13,8727,4605,963,140,636,700,107,217,897,192,19,96,4,71,34,24,3,3,6,2,8,636,265,36,174,49,17,15,35,13,3,15,5,8,1,0,0,63,41,13,4,2,2,1,0,0
US,0000065,040,Wyoming,576851,576851,533378,488374,5232,13898,5212,579,20083,43473,41250,3059,11482,3108,481,21954,165,75,26,220,53,33,356,131,91,16,2024,375,120,35,145,161,43,692,232,117,23,10,2,33,2,12,6,4,11,0,1,163,35,9,32,12,3,13,21,12,9,9,4,3,1,0,0,33,11,14,2,0,4,2,3,3,576851,59046,517805,494131,469664,4735,11781,5037,489,2425,23674,22664,2737,10184,2899,438,5864,138,70,24,64,30,29,30,117,34,6,924,277,112,30,22,116,33,63,206,28,2,7,2,13,2,4,2,3,2,0,0,74,22,5,5,12,3,0,13,2,0,4,4,3,1,0,0,12,8,3,0,0,1,0,0,0
US,0000066,040,Puerto Rico,3285874,3285874,1650083,560592,228711,17870,4001,593,838316,1635791,1539017,24479,2586,755,191,1264479,2573,291,78,226074,149,56,13914,46,1075,2271,63117,9846,196,11,38672,42,12,3568,32,475,265,20,3,8953,26,772,98,13,45,51,17,33261,91,18,32529,9,311,44,11,35,40,64,1,51,13,33,11,362,42,234,64,3,12,7,34,34,3285874,3249043,36831,34491,24548,4286,312,2746,91,2508,2340,2173,423,196,346,29,893,46,20,2,157,8,1,10,9,31,2,134,39,10,1,30,4,3,19,7,11,2,0,0,1,0,5,2,0,0,0,0,27,7,0,3,2,2,1,1,4,0,0,0,3,1,3,0,6,1,0,2,0,2,1,0,0
